Fecha,DIA,MES,YEAR,Último,Media,
02.12.2013,02,12,2013,"721,425","724,815",724.8154545
03.12.2013,03,12,2013,"725,680",,
04.12.2013,04,12,2013,"725,215",,
05.12.2013,05,12,2013,"724,380",,
06.12.2013,06,12,2013,"720,905",,
09.12.2013,09,12,2013,"726,765",,
10.12.2013,10,12,2013,"731,740",,
11.12.2013,11,12,2013,"735,110",,
12.12.2013,12,12,2013,"730,420",,
13.12.2013,13,12,2013,"726,440",,
16.12.2013,16,12,2013,"724,655",,
17.12.2013,17,12,2013,"726,260",,
18.12.2013,18,12,2013,"721,680",,
19.12.2013,19,12,2013,"724,345",,
20.12.2013,20,12,2013,"724,250",,
23.12.2013,23,12,2013,"722,465",,
24.12.2013,24,12,2013,"723,200",,
25.12.2013,25,12,2013,"723,385",,
26.12.2013,26,12,2013,"718,110",,
27.12.2013,27,12,2013,"720,765",,
30.12.2013,30,12,2013,"726,465",,
31.12.2013,31,12,2013,"722,280",,
01.01.2014,01,01,2014,"722,910","733,069",733.0686957
02.01.2014,02,01,2014,"723,930",,
03.01.2014,03,01,2014,"719,510",,
06.01.2014,06,01,2014,"725,370",,
07.01.2014,07,01,2014,"722,530",,
08.01.2014,08,01,2014,"726,735",,
09.01.2014,09,01,2014,"726,275",,
10.01.2014,10,01,2014,"723,800",,
13.01.2014,13,01,2014,"721,980",,
14.01.2014,14,01,2014,"723,360",,
15.01.2014,15,01,2014,"721,040",,
16.01.2014,16,01,2014,"725,985",,
17.01.2014,17,01,2014,"729,115",,
20.01.2014,20,01,2014,"732,620",,
21.01.2014,21,01,2014,"738,420",,
22.01.2014,22,01,2014,"734,955",,
23.01.2014,23,01,2014,"749,350",,
24.01.2014,24,01,2014,"752,685",,
27.01.2014,27,01,2014,"751,275",,
28.01.2014,28,01,2014,"747,010",,
29.01.2014,29,01,2014,"749,895",,
30.01.2014,30,01,2014,"742,735",,
31.01.2014,31,01,2014,"749,095",,
03.02.2014,03,02,2014,"761,120","758,057",758.0565
04.02.2014,04,02,2014,"752,225",,
05.02.2014,05,02,2014,"755,495",,
06.02.2014,06,02,2014,"749,015",,
07.02.2014,07,02,2014,"755,040",,
10.02.2014,10,02,2014,"757,955",,
11.02.2014,11,02,2014,"755,475",,
12.02.2014,12,02,2014,"749,260",,
13.02.2014,13,02,2014,"750,745",,
14.02.2014,14,02,2014,"749,025",,
17.02.2014,17,02,2014,"749,325",,
18.02.2014,18,02,2014,"754,625",,
19.02.2014,19,02,2014,"760,780",,
20.02.2014,20,02,2014,"762,200",,
21.02.2014,21,02,2014,"762,885",,
24.02.2014,24,02,2014,"761,540",,
25.02.2014,25,02,2014,"764,315",,
26.02.2014,26,02,2014,"768,855",,
27.02.2014,27,02,2014,"769,690",,
28.02.2014,28,02,2014,"771,560",,
03.03.2014,03,03,2014,"771,390","745,298",745.2977273
04.03.2014,04,03,2014,"769,810",,
05.03.2014,05,03,2014,"770,945",,
06.03.2014,06,03,2014,"774,110",,
07.03.2014,07,03,2014,"785,560",,
10.03.2014,10,03,2014,"790,015",,
11.03.2014,11,03,2014,"798,100",,
12.03.2014,12,03,2014,"795,625",,
13.03.2014,13,03,2014,"797,315",,
14.03.2014,14,03,2014,"796,395",,
17.03.2014,17,03,2014,"794,805",,
18.03.2014,18,03,2014,"792,985",,
19.03.2014,19,03,2014,"787,855",,
20.03.2014,20,03,2014,"778,585",,
21.03.2014,21,03,2014,"775,125",,
24.03.2014,24,03,2014,"779,135",,
25.03.2014,25,03,2014,"773,070",,
26.03.2014,26,03,2014,"763,920",,
27.03.2014,27,03,2014,"759,780",,
28.03.2014,28,03,2014,"756,910",,
31.03.2014,31,03,2014,"755,340",,
