Fecha,Dia,Mes,Year,a,b
02.12.2013,2,12,2013,532.75,528.9409091
03.12.2013,3,12,2013,534,
04.12.2013,4,12,2013,533.5,
05.12.2013,5,12,2013,530,
06.12.2013,6,12,2013,526,
09.12.2013,9,12,2013,529,
10.12.2013,10,12,2013,531.75,
11.12.2013,11,12,2013,533.25,
12.12.2013,12,12,2013,531.02,
13.12.2013,13,12,2013,528.59,
16.12.2013,16,12,2013,526.6,
17.12.2013,17,12,2013,527.5,
18.12.2013,18,12,2013,527.35,
19.12.2013,19,12,2013,530.15,
20.12.2013,20,12,2013,529.75,
23.12.2013,23,12,2013,527.5,
24.12.2013,24,12,2013,528.5,
25.12.2013,25,12,2013,528.79,
26.12.2013,26,12,2013,524.5,
27.12.2013,27,12,2013,524.5,
30.12.2013,30,12,2013,526.25,
31.12.2013,31,12,2013,525.45,
01.01.2014,1,1,2014,525.6,538.1556522
02.01.2014,2,1,2014,529.5,
03.01.2014,3,1,2014,529.5,
06.01.2014,6,1,2014,532.26,
07.01.2014,7,1,2014,530.65,
08.01.2014,8,1,2014,535.33,
09.01.2014,9,1,2014,533.75,
10.01.2014,10,1,2014,529.5,
13.01.2014,13,1,2014,528.07,
14.01.2014,14,1,2014,528.79,
15.01.2014,15,1,2014,529.98,
16.01.2014,16,1,2014,532.95,
17.01.2014,17,1,2014,538.45,
20.01.2014,20,1,2014,540.6,
21.01.2014,21,1,2014,544.5,
22.01.2014,22,1,2014,542.5,
23.01.2014,23,1,2014,547.17,
24.01.2014,24,1,2014,550.31,
27.01.2014,27,1,2014,549.5,
28.01.2014,28,1,2014,546.5,
29.01.2014,29,1,2014,548.85,
30.01.2014,30,1,2014,547.9,
31.01.2014,31,1,2014,555.42,
03.02.2014,3,2,2014,562.75,554.557
04.02.2014,4,2,2014,556.4,
05.02.2014,5,2,2014,558.2,
06.02.2014,6,2,2014,551.15,
07.02.2014,7,2,2014,553.75,
10.02.2014,10,2,2014,555.42,
11.02.2014,11,2,2014,553.93,
12.02.2014,12,2,2014,551.15,
13.02.2014,13,2,2014,548.75,
14.02.2014,14,2,2014,547.03,
17.02.2014,17,2,2014,546.63,
18.02.2014,18,2,2014,548.5,
19.02.2014,19,2,2014,553.98,
20.02.2014,20,2,2014,555.6,
21.02.2014,21,2,2014,555.25,
24.02.2014,24,2,2014,554.45,
25.02.2014,25,2,2014,556.05,
26.02.2014,26,2,2014,561.7,
27.02.2014,27,2,2014,561.45,
28.02.2014,28,2,2014,559,
03.03.2014,3,3,2014,561.62,563.6685714
04.03.2014,4,3,2014,560.12,
05.03.2014,5,3,2014,561.4,
06.03.2014,6,3,2014,558.5,
07.03.2014,7,3,2014,566.05,
10.03.2014,10,3,2014,569.3,
11.03.2014,11,3,2014,575.85,
12.03.2014,12,3,2014,572.25,
13.03.2014,13,3,2014,574.89,
14.03.2014,14,3,2014,572.35,
17.03.2014,17,3,2014,570.9,
18.03.2014,18,3,2014,569.1,
19.03.2014,19,3,2014,569.55,
20.03.2014,20,3,2014,565.05,
21.03.2014,21,3,2014,561.95,
24.03.2014,24,3,2014,563,
25.03.2014,25,3,2014,559.1,
26.03.2014,26,3,2014,554.25,
