PRODUCTO,MES,YEAR,EURO,DOLAR,COBRE,DESEMPLEO,EXPMES,EXP2MES,VALOR
ARROZ,M1,Y2018,738.6284783,605.8586957,3.213428571,6.5,0.1,0.1,101.03
ARROZ,M2,Y2018,736.22975,596.4635,3.177042105,6.7,0.1,0.4,100.9
ARROZ,M3,Y2018,745.2570455,604.1427273,3.082404762,6.9,0.3,0.2,100.18
ARROZ,M4,Y2018,737.6285714,600.9957143,3.093714286,6.7,0.2,0.2,101.02
ARROZ,M5,Y2018,740.2950417,626.7916667,3.078727273,7,0.2,0.2,100.33
ARROZ,M6,Y2018,743.57652,636.7208,3.121080952,7.2,0.2,0.2,100.09
ARROZ,M7,Y2018,761.3723704,651.8588889,2.801785714,7.3,0.2,0.2,100.08
ARROZ,M8,Y2018,761.0798148,659.3018519,2.701952174,7.3,0.2,0.4,100.6
ARROZ,M9,Y2018,791.6158,679.1632,2.711026316,7.1,0.4,0.3,98.26
ARROZ,M10,Y2018,780.2537037,679.8081481,2.767673913,7.1,0.3,0.2,99.3
ARROZ,M11,Y2018,769.6242308,677.175,2.750742857,6.8,0.2,0.1,98.48
ARROZ,M12,Y2018,779.1065385,684.6261538,2.723375,6.7,0,0.2,99.74
ARROZ,M1,Y2019,770.9657407,675.1362963,2.670214286,6.8,0.2,0.1,98.62
HARINA,M1,Y2018,738.6284783,605.8586957,3.213428571,6.5,0.1,0.1,99.46
HARINA,M2,Y2018,736.22975,596.4635,3.177042105,6.7,0.1,0.4,100.14
HARINA,M3,Y2018,745.2570455,604.1427273,3.082404762,6.9,0.3,0.2,99.95
HARINA,M4,Y2018,737.6285714,600.9957143,3.093714286,6.7,0.2,0.2,100.66
HARINA,M5,Y2018,740.2950417,626.7916667,3.078727273,7,0.2,0.2,100.45
HARINA,M6,Y2018,743.57652,636.7208,3.121080952,7.2,0.2,0.2,100.63
HARINA,M7,Y2018,761.3723704,651.8588889,2.801785714,7.3,0.2,0.2,99.78
HARINA,M8,Y2018,761.0798148,659.3018519,2.701952174,7.3,0.2,0.4,100.25
HARINA,M9,Y2018,791.6158,679.1632,2.711026316,7.1,0.4,0.3,97.82
HARINA,M10,Y2018,780.2537037,679.8081481,2.767673913,7.1,0.3,0.2,100.33
HARINA,M11,Y2018,769.6242308,677.175,2.750742857,6.8,0.2,0.1,101.13
HARINA,M12,Y2018,779.1065385,684.6261538,2.723375,6.7,0,0.2,99.4
HARINA,M1,Y2019,770.9657407,675.1362963,2.670214286,6.8,0.2,0.1,101.43
CEREAL,M1,Y2018,738.6284783,605.8586957,3.213428571,6.5,0.1,0.1,98.49
CEREAL,M2,Y2018,736.22975,596.4635,3.177042105,6.7,0.1,0.4,99.65
CEREAL,M3,Y2018,745.2570455,604.1427273,3.082404762,6.9,0.3,0.2,99.82
CEREAL,M4,Y2018,737.6285714,600.9957143,3.093714286,6.7,0.2,0.2,100.78
CEREAL,M5,Y2018,740.2950417,626.7916667,3.078727273,7,0.2,0.2,98.39
CEREAL,M6,Y2018,743.57652,636.7208,3.121080952,7.2,0.2,0.2,99.08
CEREAL,M7,Y2018,761.3723704,651.8588889,2.801785714,7.3,0.2,0.2,99.62
CEREAL,M8,Y2018,761.0798148,659.3018519,2.701952174,7.3,0.2,0.4,100.13
CEREAL,M9,Y2018,791.6158,679.1632,2.711026316,7.1,0.4,0.3,101.01
CEREAL,M10,Y2018,780.2537037,679.8081481,2.767673913,7.1,0.3,0.2,101.24
CEREAL,M11,Y2018,769.6242308,677.175,2.750742857,6.8,0.2,0.1,100.07
CEREAL,M12,Y2018,779.1065385,684.6261538,2.723375,6.7,0,0.2,101.73
CEREAL,M1,Y2019,770.9657407,675.1362963,2.670214286,6.8,0.2,0.1,100.08
PAN,M1,Y2018,738.6284783,605.8586957,3.213428571,6.5,0.1,0.1,97.62
PAN,M2,Y2018,736.22975,596.4635,3.177042105,6.7,0.1,0.4,97.64
PAN,M3,Y2018,745.2570455,604.1427273,3.082404762,6.9,0.3,0.2,98.32
PAN,M4,Y2018,737.6285714,600.9957143,3.093714286,6.7,0.2,0.2,98.99
PAN,M5,Y2018,740.2950417,626.7916667,3.078727273,7,0.2,0.2,100.04
PAN,M6,Y2018,743.57652,636.7208,3.121080952,7.2,0.2,0.2,100.7
PAN,M7,Y2018,761.3723704,651.8588889,2.801785714,7.3,0.2,0.2,100.59
PAN,M8,Y2018,761.0798148,659.3018519,2.701952174,7.3,0.2,0.4,100.7
PAN,M9,Y2018,791.6158,679.1632,2.711026316,7.1,0.4,0.3,100.71
PAN,M10,Y2018,780.2537037,679.8081481,2.767673913,7.1,0.3,0.2,101.08
PAN,M11,Y2018,769.6242308,677.175,2.750742857,6.8,0.2,0.1,101.74
PAN,M12,Y2018,779.1065385,684.6261538,2.723375,6.7,0,0.2,101.87
PAN,M1,Y2019,770.9657407,675.1362963,2.670214286,6.8,0.2,0.1,102
GALLETA,M1,Y2018,738.6284783,605.8586957,3.213428571,6.5,0.1,0.1,98.43
GALLETA,M2,Y2018,736.22975,596.4635,3.177042105,6.7,0.1,0.4,98.92
GALLETA,M3,Y2018,745.2570455,604.1427273,3.082404762,6.9,0.3,0.2,98.96
GALLETA,M4,Y2018,737.6285714,600.9957143,3.093714286,6.7,0.2,0.2,99.95
GALLETA,M5,Y2018,740.2950417,626.7916667,3.078727273,7,0.2,0.2,100.41
GALLETA,M6,Y2018,743.57652,636.7208,3.121080952,7.2,0.2,0.2,100.7
GALLETA,M7,Y2018,761.3723704,651.8588889,2.801785714,7.3,0.2,0.2,100.61
GALLETA,M8,Y2018,761.0798148,659.3018519,2.701952174,7.3,0.2,0.4,100.53
GALLETA,M9,Y2018,791.6158,679.1632,2.711026316,7.1,0.4,0.3,100.25
GALLETA,M10,Y2018,780.2537037,679.8081481,2.767673913,7.1,0.3,0.2,100.92
GALLETA,M11,Y2018,769.6242308,677.175,2.750742857,6.8,0.2,0.1,100.84
GALLETA,M12,Y2018,779.1065385,684.6261538,2.723375,6.7,0,0.2,99.47
GALLETA,M1,Y2019,770.9657407,675.1362963,2.670214286,6.8,0.2,0.1,101.11
PRODUCTOSDEREPOSTERIA,M1,Y2018,738.6284783,605.8586957,3.213428571,6.5,0.1,0.1,97.93
PRODUCTOSDEREPOSTERIA,M2,Y2018,736.22975,596.4635,3.177042105,6.7,0.1,0.4,97.92
PRODUCTOSDEREPOSTERIA,M3,Y2018,745.2570455,604.1427273,3.082404762,6.9,0.3,0.2,98.02
PRODUCTOSDEREPOSTERIA,M4,Y2018,737.6285714,600.9957143,3.093714286,6.7,0.2,0.2,99.25
PRODUCTOSDEREPOSTERIA,M5,Y2018,740.2950417,626.7916667,3.078727273,7,0.2,0.2,99.03
PRODUCTOSDEREPOSTERIA,M6,Y2018,743.57652,636.7208,3.121080952,7.2,0.2,0.2,99.78
PRODUCTOSDEREPOSTERIA,M7,Y2018,761.3723704,651.8588889,2.801785714,7.3,0.2,0.2,99.9
PRODUCTOSDEREPOSTERIA,M8,Y2018,761.0798148,659.3018519,2.701952174,7.3,0.2,0.4,101.48
PRODUCTOSDEREPOSTERIA,M9,Y2018,791.6158,679.1632,2.711026316,7.1,0.4,0.3,101.11
