prod,pond
PRODUCTO_ARROZ,0.18033
PRODUCTO_HARINA,0.09428
PRODUCTO_CEREAL,0.22167
PRODUCTO_PAN,2.08381
PRODUCTO_GALLETA,0.42102
PRODUCTO_PRODUCTOSDEREPOSTERIA,0.56276
PRODUCTO_MASASSALADASPREPARADAS,0.10138
PRODUCTO_SNACK,0.10349
PRODUCTO_PASTAS,0.26583
PRODUCTO_CARNEDEVACUNO,1.83118
PRODUCTO_CARNEDECERDO,0.45693
PRODUCTO_CARNEDEPAVO,0.07385
PRODUCTO_CARNEDEPOLLO,0.91573
PRODUCTO_CECINAS,0.98478
PRODUCTO_HAMBURGUESA,0.12905
PRODUCTO_PESCADOS,0.26577
PRODUCTO_MARISCOS,0.08082
PRODUCTO_PESCADOSENCONSERVA,0.20353
PRODUCTO_MARISCOSENCONSERVA,0.0223
PRODUCTO_LECHEENPOLVO,0.18644
PRODUCTO_LECHELIQUIDA,0.45256
PRODUCTO_LECHECONSERVADA,0.08348
PRODUCTO_YOGHURT,0.37669
PRODUCTO_POSTRESLACTEOS,0.07293
PRODUCTO_QUESO,0.84248
PRODUCTO_HUEVOS,0.40773
PRODUCTO_MANTEQUILLA,0.16426
PRODUCTO_MARGARINA,0.07462
PRODUCTO_ACEITEVEGETAL,0.29183
PRODUCTO_MANZANA,0.11296
PRODUCTO_NARANJA,0.1119
PRODUCTO_PERA,0.03486
PRODUCTO_PLATANO,0.14182
PRODUCTO_FRUTASDEESTACION,0.3918
PRODUCTO_FRUTOSSECOS,0.13142
PRODUCTO_FRUTASENCONSERVA,0.0484
PRODUCTO_ACELGAYESPINACA,0.04289
PRODUCTO_CEBOLLAYCEBOLLIN,0.13303
PRODUCTO_LECHUGA,0.17469
PRODUCTO_LIMON,0.13543
PRODUCTO_PALTA,0.33389
PRODUCTO_PIMENTONYPIMIENTO,0.0516
PRODUCTO_TOMATE,0.32495
PRODUCTO_ZANAHORIA,0.06898
PRODUCTO_ZAPALLO,0.0856
PRODUCTO_ZAPALLOITALIANO,0.03675
PRODUCTO_VERDURASDEESTACION,0.30569
PRODUCTO_VERDURASCONGELADAS,0.11295
PRODUCTO_VERDURASENCONSERVA,0.04367
PRODUCTO_VERDURASENCURTIDAS,0.0731
PRODUCTO_LEGUMBRES,0.14401
PRODUCTO_PAPA,0.3362
PRODUCTO_PAPASCONGELADASYDESHIDRATADAS,0.05833
PRODUCTO_PAPASFRITAS,0.12454
PRODUCTO_AZUCAR,0.13136
PRODUCTO_ENDULZANTE,0.04307
PRODUCTO_MERMELADA,0.07621
PRODUCTO_MANJARYDULCESUNTABLES,0.07214
PRODUCTO_CARAMELOSYGOMADEMASCAR,0.09733
PRODUCTO_CHOCOLATE,0.25488
PRODUCTO_HELADO,0.25363
PRODUCTO_SAL,0.02511
"PRODUCTO_HIERBAS,ESPECIASYCONDIMENTOS",0.09706
PRODUCTO_SALSAS,0.10893
PRODUCTO_ADEREZOS,0.19046
PRODUCTO_SOPASYCREMAS,0.087
PRODUCTO_ALIMENTOSPARABEBE,0.1037
PRODUCTO_POSTRESNOLACTEOS,0.08544
PRODUCTO_CAFEYSUCEDANEOS,0.15522
PRODUCTO_TE,0.17671
PRODUCTO_SABORIZANTEPARALECHE,0.05023
PRODUCTO_AGUAEMBOTELLADA,0.21102
PRODUCTO_BEBIDAGASEOSA,1.08369
PRODUCTO_BEBIDAISOTONICAYENERGIZANTE,0.06007
PRODUCTO_JUGOLIQUIDO,0.32951
PRODUCTO_JUGOENPOLVO,0.09755
PRODUCTO_PISCO,0.23562
PRODUCTO_RON,0.07718
PRODUCTO_WHISKY,0.14032
PRODUCTO_VODKA,0.05614
PRODUCTO_VINO,0.86682
PRODUCTO_VINOESPUMOSO,0.10253
PRODUCTO_CERVEZA,1.39219
PRODUCTO_CIGARRILLOS,1.90687
PRODUCTO_TELASPARACONFECCIONDEVESTUARIO,0.03406
PRODUCTO_ROPADEABRIGOPARAHOMBRE,0.17216
PRODUCTO_PANTALONLARGOYCORTOPARAHOMBRE,0.23837
PRODUCTO_CAMISAYPOLERAPARAHOMBRE,0.19681
PRODUCTO_ROPAINTERIORYDEDORMIRPARAHOMBRE,0.0398
PRODUCTO_ROPADEABRIGOPARAMUJER,0.20708
"PRODUCTO_Pantalon,faldayvestidoparamujer",0.28385
PRODUCTO_BLUSAYPOLERAPARAMUJER,0.16895
PRODUCTO_ROPADEPORTIVAYDEBAÑOPARAMUJER,0.02628
PRODUCTO_ROPAINTERIORYDEDORMIRPARAMUJER,0.08361
PRODUCTO_ROPADEABRIGOINFANTIL,0.05708
"PRODUCTO_PANTALON,FALDAYVESTIDOINFANTIL",0.07989
"PRODUCTO_CAMISA,BLUSAYPOLERAINFANTIL",0.05971
"PRODUCTO_ROPADEPORTIVA,SHORTS,BERMUDASYTRAJESDEBAÑOINFANTIL",0.03397
PRODUCTO_ROPAINTERIORYDEDORMIRINFANTIL,0.02386
PRODUCTO_VESTUARIOPARALACTANTE,0.02277
PRODUCTO_UNIFORMEYROPADEPORTIVAESCOLAR,0.39907
PRODUCTO_ARTICULOSPARAREPARACIONDEVESTUARIO,0.03652
PRODUCTO_ACCESORIOSDEVESTIR,0.08105
PRODUCTO_SERVICIODELIMPIEZAYREPARACIONDEVESTUARIO,0.06004
PRODUCTO_ZAPATILLASPARAHOMBRE,0.23515
PRODUCTO_ZAPATOSPARAHOMBRE,0.15246
PRODUCTO_ZAPATILLASPARAMUJER,0.14788
