PRODUCTO,DIA,MES,YEAR,EURO,DOLAR,COBRE,DESEMPLEO,EXPMES,EXP2MES,VALOR
ARROZ,D8,M1,Y2018,724.745,605.62,3.224,6.5,0.1,0.1,101.03
ARROZ,D8,M2,Y2018,738.68,603.15,3.082,6.7,0.1,0.4,100.9
ARROZ,D8,M3,Y2018,746.365,606.21,3.079,6.9,0.3,0.2,100.18
ARROZ,D8,M4,Y2018,744.465,604.25,3.077,6.7,0.2,0.2,101.02
ARROZ,D8,M5,Y2018,752.685,634.4,3.059,7,0.2,0.2,100.33
ARROZ,D8,M6,Y2018,741.45,630.05,3.3,7.2,0.2,0.2,100.09
ARROZ,D8,M7,Y2018,768.53,656.9,2.85,7.3,0.2,0.2,100.08
ARROZ,D8,M8,Y2018,749.17,645.23,2.751,7.3,0.2,0.4,100.6
ARROZ,D8,M9,Y2018,798.23,690.93,2.6225,7.1,0.4,0.3,98.26
ARROZ,D8,M10,Y2018,780.39,679.08,2.767,7.1,0.3,0.2,99.3
ARROZ,D8,M11,Y2018,770.16,677.75,2.736,6.8,0.2,0.1,98.48
ARROZ,D8,M12,Y2018,770.26,674.75,2.758,6.7,0,0.2,99.74
ARROZ,D8,M1,Y2019,778.51,680.4,2.656,6.8,0.2,0.1,98.62
ARROZ,D8,M2,Y2019,745.63,658.08,2.8105,6.7,0.1,0.3,99.76
ARROZ,D8,M3,Y2019,754.61,671.33,2.8935,6.6,0.3,0.2,98.12
HARINA,D8,M1,Y2018,724.745,605.62,3.224,6.5,0.1,0.1,99.46
HARINA,D8,M2,Y2018,738.68,603.15,3.082,6.7,0.1,0.4,100.14
HARINA,D8,M3,Y2018,746.365,606.21,3.079,6.9,0.3,0.2,99.95
HARINA,D8,M4,Y2018,744.465,604.25,3.077,6.7,0.2,0.2,100.66
HARINA,D8,M5,Y2018,752.685,634.4,3.059,7,0.2,0.2,100.45
HARINA,D8,M6,Y2018,741.45,630.05,3.3,7.2,0.2,0.2,100.63
HARINA,D8,M7,Y2018,768.53,656.9,2.85,7.3,0.2,0.2,99.78
HARINA,D8,M8,Y2018,749.17,645.23,2.751,7.3,0.2,0.4,100.25
HARINA,D8,M9,Y2018,798.23,690.93,2.6225,7.1,0.4,0.3,97.82
HARINA,D8,M10,Y2018,780.39,679.08,2.767,7.1,0.3,0.2,100.33
HARINA,D8,M11,Y2018,770.16,677.75,2.736,6.8,0.2,0.1,101.13
HARINA,D8,M12,Y2018,770.26,674.75,2.758,6.7,0,0.2,99.4
HARINA,D8,M1,Y2019,778.51,680.4,2.656,6.8,0.2,0.1,101.43
HARINA,D8,M2,Y2019,745.63,658.08,2.8105,6.7,0.1,0.3,100.84
HARINA,D8,M3,Y2019,754.61,671.33,2.8935,6.6,0.3,0.2,99.69
CEREAL,D8,M1,Y2018,724.745,605.62,3.224,6.5,0.1,0.1,98.49
CEREAL,D8,M2,Y2018,738.68,603.15,3.082,6.7,0.1,0.4,99.65
CEREAL,D8,M3,Y2018,746.365,606.21,3.079,6.9,0.3,0.2,99.82
CEREAL,D8,M4,Y2018,744.465,604.25,3.077,6.7,0.2,0.2,100.78
CEREAL,D8,M5,Y2018,752.685,634.4,3.059,7,0.2,0.2,98.39
CEREAL,D8,M6,Y2018,741.45,630.05,3.3,7.2,0.2,0.2,99.08
CEREAL,D8,M7,Y2018,768.53,656.9,2.85,7.3,0.2,0.2,99.62
