date,day,month,year, value,k
12/2/2013,2.00,12.00,2013.00,3.2025,3.321485714
12/3/2013,3.00,12.00,2013.00,3.197,
12/4/2013,4.00,12.00,2013.00,3.263,
12/5/2013,5.00,12.00,2013.00,3.2465,
12/6/2013,6.00,12.00,2013.00,3.2625,
12/9/2013,9.00,12.00,2013.00,3.2805,
12/10/2013,10.00,12.00,2013.00,3.2865,
12/11/2013,11.00,12.00,2013.00,3.3175,
12/12/2013,12.00,12.00,2013.00,3.314,
12/13/2013,13.00,12.00,2013.00,3.334,
12/16/2013,16.00,12.00,2013.00,3.3565,
12/17/2013,17.00,12.00,2013.00,3.3475,
12/18/2013,18.00,12.00,2013.00,3.34,
12/19/2013,19.00,12.00,2013.00,3.3175,
12/20/2013,20.00,12.00,2013.00,3.326,
12/23/2013,23.00,12.00,2013.00,3.332,
12/24/2013,24.00,12.00,2013.00,3.398,
12/26/2013,26.00,12.00,2013.00,3.4205,
12/27/2013,27.00,12.00,2013.00,3.406,
12/30/2013,30.00,12.00,2013.00,3.3977,
12/31/2013,31.00,12.00,2013.00,3.4055,
1/2/2014,2.00,1.00,2014.00,3.3815,3.313666667
1/3/2014,3.00,1.00,2014.00,3.355,
1/6/2014,6.00,1.00,2014.00,3.3595,
1/7/2014,7.00,1.00,2014.00,3.3595,
1/8/2014,8.00,1.00,2014.00,3.3425,
1/9/2014,9.00,1.00,2014.00,3.299,
1/10/2014,10.00,1.00,2014.00,3.3415,
1/13/2014,13.00,1.00,2014.00,3.3465,
1/14/2014,14.00,1.00,2014.00,3.336,
1/15/2014,15.00,1.00,2014.00,3.358,
1/16/2014,16.00,1.00,2014.00,3.3425,
1/17/2014,17.00,1.00,2014.00,3.3445,
1/21/2014,21.00,1.00,2014.00,3.351,
1/22/2014,22.00,1.00,2014.00,3.337,
1/23/2014,23.00,1.00,2014.00,3.2855,
1/24/2014,24.00,1.00,2014.00,3.2715,
1/27/2014,27.00,1.00,2014.00,3.259,
1/28/2014,28.00,1.00,2014.00,3.253,
1/29/2014,29.00,1.00,2014.00,3.2405,
1/30/2014,30.00,1.00,2014.00,3.2265,
1/31/2014,31.00,1.00,2014.00,3.197,
2/3/2014,3.00,2.00,2014.00,3.1835,3.239368421
2/4/2014,4.00,2.00,2014.00,3.192,
2/5/2014,5.00,2.00,2014.00,3.1885,
2/6/2014,6.00,2.00,2014.00,3.229,
2/7/2014,7.00,2.00,2014.00,3.236,
2/10/2014,10.00,2.00,2014.00,3.2245,
2/11/2014,11.00,2.00,2014.00,3.215,
2/12/2014,12.00,2.00,2014.00,3.256,
2/13/2014,13.00,2.00,2014.00,3.25,
2/14/2014,14.00,2.00,2014.00,3.2645,
2/18/2014,18.00,2.00,2014.00,3.2855,
2/19/2014,19.00,2.00,2014.00,3.2855,
2/20/2014,20.00,2.00,2014.00,3.279,
2/21/2014,21.00,2.00,2014.00,3.291,
2/24/2014,24.00,2.00,2014.00,3.27,
2/25/2014,25.00,2.00,2014.00,3.2522,
2/26/2014,26.00,2.00,2014.00,3.2329,
2/27/2014,27.00,2.00,2014.00,3.2152,
2/28/2014,28.00,2.00,2014.00,3.1977,
3/3/2014,3.00,3.00,2014.00,3.172,3.0126
3/4/2014,4.00,3.00,2014.00,3.2145,
3/6/2014,6.00,3.00,2014.00,3.218,
3/7/2014,7.00,3.00,2014.00,3.0825,
3/10/2014,10.00,3.00,2014.00,3.0315,
3/11/2014,11.00,3.00,2014.00,2.952,
3/12/2014,12.00,3.00,2014.00,2.962,
3/13/2014,13.00,3.00,2014.00,2.923,
3/14/2014,14.00,3.00,2014.00,2.9505,
3/17/2014,17.00,3.00,2014.00,2.952,
3/18/2014,18.00,3.00,2014.00,2.9515,
3/19/2014,19.00,3.00,2014.00,2.987,
3/20/2014,20.00,3.00,2014.00,2.9285,
3/21/2014,21.00,3.00,2014.00,2.9505,
3/24/2014,24.00,3.00,2014.00,2.9455,
3/25/2014,25.00,3.00,2014.00,3.0055,
3/26/2014,26.00,3.00,2014.00,2.9655,
3/27/2014,27.00,3.00,2014.00,2.993,
3/28/2014,28.00,3.00,2014.00,3.0415,
3/31/2014,31.00,3.00,2014.00,3.0255,
4/1/2014,1.00,4.00,2014.00,3.0345,3.049861905
4/2/2014,2.00,4.00,2014.00,3.0455,
4/3/2014,3.00,4.00,2014.00,3.027,
4/4/2014,4.00,4.00,2014.00,3.0225,
4/7/2014,7.00,4.00,2014.00,3.0395,
4/8/2014,8.00,4.00,2014.00,3.051,
4/9/2014,9.00,4.00,2014.00,3.037,
4/10/2014,10.00,4.00,2014.00,3.045,
4/11/2014,11.00,4.00,2014.00,3.0415,
4/14/2014,14.00,4.00,2014.00,3.0475,
4/15/2014,15.00,4.00,2014.00,2.9875,
4/16/2014,16.00,4.00,2014.00,3.0255,
4/17/2014,17.00,4.00,2014.00,3.045,
4/21/2014,21.00,4.00,2014.00,3.043,
4/22/2014,22.00,4.00,2014.00,3.0535,
4/23/2014,23.00,4.00,2014.00,3.059,
4/24/2014,24.00,4.00,2014.00,3.1205,
4/25/2014,25.00,4.00,2014.00,3.1182,
4/28/2014,28.00,4.00,2014.00,3.1032,
4/29/2014,29.00,4.00,2014.00,3.0728,
4/30/2014,30.00,4.00,2014.00,3.0279,
5/1/2014,1.00,5.00,2014.00,3.0215,3.118095238
5/2/2014,2.00,5.00,2014.00,3.07,
5/5/2014,5.00,5.00,2014.00,3.0535,
5/6/2014,6.00,5.00,2014.00,3.057,
5/7/2014,7.00,5.00,2014.00,3.0325,
5/8/2014,8.00,5.00,2014.00,3.0625,
5/9/2014,9.00,5.00,2014.00,3.083,
5/12/2014,12.00,5.00,2014.00,3.1495,
5/13/2014,13.00,5.00,2014.00,3.1355,
5/14/2014,14.00,5.00,2014.00,3.16,
5/15/2014,15.00,5.00,2014.00,3.1445,
5/16/2014,16.00,5.00,2014.00,3.147,
5/19/2014,19.00,5.00,2014.00,3.167,
5/20/2014,20.00,5.00,2014.00,3.145,
5/21/2014,21.00,5.00,2014.00,3.123,
5/22/2014,22.00,5.00,2014.00,3.142,
5/23/2014,23.00,5.00,2014.00,3.1675,
5/27/2014,27.00,5.00,2014.00,3.1775,
5/28/2014,28.00,5.00,2014.00,3.1735,
5/29/2014,29.00,5.00,2014.00,3.1445,
5/30/2014,30.00,5.00,2014.00,3.1235,
6/2/2014,2.00,6.00,2014.00,3.1705,3.099580952
6/3/2014,3.00,6.00,2014.00,3.137,
6/4/2014,4.00,6.00,2014.00,3.093,
6/5/2014,5.00,6.00,2014.00,3.0905,
6/6/2014,6.00,6.00,2014.00,3.051,
6/9/2014,9.00,6.00,2014.00,3.0435,
6/10/2014,10.00,6.00,2014.00,3.053,
6/11/2014,11.00,6.00,2014.00,3.0405,
6/12/2014,12.00,6.00,2014.00,3.0155,
6/13/2014,13.00,6.00,2014.00,3.0295,
6/16/2014,16.00,6.00,2014.00,3.05,
6/17/2014,17.00,6.00,2014.00,3.061,
6/18/2014,18.00,6.00,2014.00,3.06,
