prod,prod,pond
ARROZ,PRODUCTO_ARROZ,0.18033
HARINA,PRODUCTO_HARINA,0.09428
CEREAL,PRODUCTO_CEREAL,0.22167
PAN,PRODUCTO_PAN,2.08381
GALLETA,PRODUCTO_GALLETA,0.42102
PRODUCTOSDEREPOSTERIA,PRODUCTO_PRODUCTOSDEREPOSTERIA,0.56276
MASASSALADASPREPARADAS,PRODUCTO_MASASSALADASPREPARADAS,0.10138
SNACK,PRODUCTO_SNACK,0.10349
PASTAS,PRODUCTO_PASTAS,0.26583
CARNEDEVACUNO,PRODUCTO_CARNEDEVACUNO,1.83118
CARNEDECERDO,PRODUCTO_CARNEDECERDO,0.45693
CARNEDEPAVO,PRODUCTO_CARNEDEPAVO,0.07385
CARNEDEPOLLO,PRODUCTO_CARNEDEPOLLO,0.91573
CECINAS,PRODUCTO_CECINAS,0.98478
HAMBURGUESA,PRODUCTO_HAMBURGUESA,0.12905
PESCADOS,PRODUCTO_PESCADOS,0.26577
MARISCOS,PRODUCTO_MARISCOS,0.08082
PESCADOSENCONSERVA,PRODUCTO_PESCADOSENCONSERVA,0.20353
MARISCOSENCONSERVA,PRODUCTO_MARISCOSENCONSERVA,0.0223
LECHEENPOLVO,PRODUCTO_LECHEENPOLVO,0.18644
LECHELIQUIDA,PRODUCTO_LECHELIQUIDA,0.45256
LECHECONSERVADA,PRODUCTO_LECHECONSERVADA,0.08348
YOGHURT,PRODUCTO_YOGHURT,0.37669
POSTRESLACTEOS,PRODUCTO_POSTRESLACTEOS,0.07293
QUESO,PRODUCTO_QUESO,0.84248
HUEVOS,PRODUCTO_HUEVOS,0.40773
MANTEQUILLA,PRODUCTO_MANTEQUILLA,0.16426
MARGARINA,PRODUCTO_MARGARINA,0.07462
ACEITEVEGETAL,PRODUCTO_ACEITEVEGETAL,0.29183
MANZANA,PRODUCTO_MANZANA,0.11296
NARANJA,PRODUCTO_NARANJA,0.1119
PERA,PRODUCTO_PERA,0.03486
PLATANO,PRODUCTO_PLATANO,0.14182
FRUTASDEESTACION,PRODUCTO_FRUTASDEESTACION,0.3918
FRUTOSSECOS,PRODUCTO_FRUTOSSECOS,0.13142
FRUTASENCONSERVA,PRODUCTO_FRUTASENCONSERVA,0.0484
ACELGAYESPINACA,PRODUCTO_ACELGAYESPINACA,0.04289
CEBOLLAYCEBOLLIN,PRODUCTO_CEBOLLAYCEBOLLIN,0.13303
LECHUGA,PRODUCTO_LECHUGA,0.17469
LIMON,PRODUCTO_LIMON,0.13543
PALTA,PRODUCTO_PALTA,0.33389
PIMENTONYPIMIENTO,PRODUCTO_PIMENTONYPIMIENTO,0.0516
TOMATE,PRODUCTO_TOMATE,0.32495
ZANAHORIA,PRODUCTO_ZANAHORIA,0.06898
ZAPALLO,PRODUCTO_ZAPALLO,0.0856
ZAPALLOITALIANO,PRODUCTO_ZAPALLOITALIANO,0.03675
VERDURASDEESTACION,PRODUCTO_VERDURASDEESTACION,0.30569
VERDURASCONGELADAS,PRODUCTO_VERDURASCONGELADAS,0.11295
VERDURASENCONSERVA,PRODUCTO_VERDURASENCONSERVA,0.04367
VERDURASENCURTIDAS,PRODUCTO_VERDURASENCURTIDAS,0.0731
LEGUMBRES,PRODUCTO_LEGUMBRES,0.14401
PAPA,PRODUCTO_PAPA,0.3362
PAPASCONGELADASYDESHIDRATADAS,PRODUCTO_PAPASCONGELADASYDESHIDRATADAS,0.05833
PAPASFRITAS,PRODUCTO_PAPASFRITAS,0.12454
AZUCAR,PRODUCTO_AZUCAR,0.13136
ENDULZANTE,PRODUCTO_ENDULZANTE,0.04307
MERMELADA,PRODUCTO_MERMELADA,0.07621
MANJARYDULCESUNTABLES,PRODUCTO_MANJARYDULCESUNTABLES,0.07214
CARAMELOSYGOMADEMASCAR,PRODUCTO_CARAMELOSYGOMADEMASCAR,0.09733
CHOCOLATE,PRODUCTO_CHOCOLATE,0.25488
HELADO,PRODUCTO_HELADO,0.25363
SAL,PRODUCTO_SAL,0.02511
"HIERBAS,ESPECIASYCONDIMENTOS","PRODUCTO_HIERBAS,ESPECIASYCONDIMENTOS",0.09706
